DOCUMENTO 1
   Término   TF         IDF        TF-IDF     Índice
       80%   1.000000   1.301030   1.301030   30
  Viognier   1.000000   1.301030   1.301030   31
 component   1.000000   1.301030   1.301030   32
        is   1.000000   0.000000   0.000000   33
   typical   1.000000   1.301030   1.301030   34
        of   3.000000   0.000000   0.000000   35
       the   3.000000   0.000000   0.000000   36
      warm   1.000000   1.301030   1.301030   37
  climate:   1.000000   1.301030   1.301030   38
     plump   1.000000   1.000000   1.000000   39
       and   4.000000   0.000000   0.000000   40
      oily   1.000000   1.301030   1.301030   41
      with   2.000000   0.000000   0.000000   42
         a   1.000000   0.000000   0.000000   43
     short   1.000000   1.301030   1.301030   44
    finish   1.000000   0.602060   0.602060   45
Chardonnay   1.000000   1.301030   1.301030   46
     fills   1.000000   1.301030   1.301030   47
       out   1.000000   1.000000   1.000000   48
       the   3.000000   0.000000   0.000000   49
     blend   1.000000   0.778151   0.778151   50

DOCUMENTO 8
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
      This   1.000000   0.477121   0.477121   0
concentrated   1.000000   1.301030   1.301030   1
  Cabernet   1.000000   1.000000   1.000000   2
    offers   1.000000   1.000000   1.000000   3
    aromas   1.000000   0.602060   0.602060   4
        of   1.000000   0.000000   0.000000   5
     cured   1.000000   1.301030   1.301030   6
      meat   1.000000   1.000000   1.000000   7
     dried   1.000000   1.301030   1.301030   8
     fruit   1.000000   0.301030   0.301030   9
       and   2.000000   0.000000   0.000000   10
  rosemary   1.000000   1.301030   1.301030   11
  Barbecue   1.000000   1.301030   1.301030   12
     spice   1.000000   1.301030   1.301030   13
       and   2.000000   0.000000   0.000000   14
  teriyaki   1.000000   1.301030   1.301030   15
     sauce   1.000000   1.000000   1.000000   16
   flavors   1.000000   0.301030   0.301030   17
      give   1.000000   1.301030   1.301030   18
       the   1.000000   0.000000   0.000000   19
      wine   1.000000   0.000000   0.000000   20
         a   1.000000   0.000000   0.000000   21
      bold   1.000000   1.301030   1.301030   22
     chewy   1.000000   1.301030   1.301030   23
      feel   1.000000   1.301030   1.301030   24

DOCUMENTO 9
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
      Inky   1.000000   1.301030   1.301030   0
        in   1.000000   1.301030   1.301030   1
     color   1.000000   1.301030   1.301030   2
